,Distancia
0,136.64394755784147
1,136.83542580378398
2,136.83542580378398
3,136.83542580378398
4,136.5999623765689
5,136.43166092374494
6,136.83542580378398
7,136.43166092374494
8,136.43166092374494
9,136.23965238622193
10,136.43166092374494
11,136.23965238622193
12,136.64394755784147
13,136.64394755784147
14,136.64394755784147
15,135.79912251541583
16,136.40666798099824
17,136.2031997071221
18,135.79912251541583
19,135.60803667995796
20,135.60803667995796
21,135.60803667995796
22,135.33415509138808
23,135.1673660981929
24,135.1673660981929
25,134.7270346749572
26,134.7270346749572
27,134.53639732810998
28,134.7524155131636
29,134.7524155131636
30,134.34717830867376
31,134.26248152280482
32,134.09592263268024
33,133.9062219618705
34,133.870407822097
35,133.870407822097
36,133.870407822097
37,133.63138716429435
38,133.63138716429435
39,133.870407822097
40,133.68218585989896
41,133.68218585989896
42,132.81195025943592
43,132.64827498330112
44,132.83608023087118
45,133.05393405414316
46,132.83608023087118
47,133.0010830540321
48,133.05393405414316
49,132.64827498330112
50,133.40562614719875
51,133.24120430642546
52,132.83608023087118
53,133.24120430642546
54,133.05393405414316
55,132.64827498330112
56,132.83608023087118
57,133.24120430642546
58,133.24120430642546
59,132.83608023087118
60,133.40562614719875
61,132.83608023087118
62,133.24120430642546
63,133.24120430642546
64,133.40562614719875
65,133.40562614719875
66,133.24120430642546
67,133.24120430642546
68,133.40562614719875
69,133.27684585887613
70,133.870407822097
71,133.46560252978665
72,134.07146915913887
73,133.9062219618705
74,134.3112442349358
75,134.70241913909317
76,134.53639732810998
77,134.94110322046953
78,135.57175696197322
79,135.57175696197322
80,135.57175696197322
81,135.57175696197322
82,135.1673660981929
83,135.1673660981929
84,135.60803667995796
85,135.60803667995796
86,136.01264452714557
87,135.79912251541583
88,135.79912251541583
89,135.79912251541583
90,136.2031997071221
91,135.79912251541583
92,135.79912251541583
93,135.96667135713673
94,136.40666798099824
95,136.64394755784147
96,136.23965238622193
97,136.64394755784147
98,136.23965238622193
99,136.64394755784147
100,136.23965238622193
101,136.83542580378398
102,136.23965238622193
103,136.23965238622193
104,136.23965238622193
105,136.5999623765689
106,136.64394755784147
107,136.64394755784147
108,136.64394755784147
109,136.23965238622193
110,136.43166092374494
111,136.64394755784147
112,136.43166092374494
113,136.81038986275556
114,136.23965238622193
115,136.43166092374494
116,136.23965238622193
117,136.43166092374494
118,136.5999623765689
119,136.83542580378398
120,136.83542580378398
121,136.43166092374494
122,136.43166092374494
123,136.43166092374494
124,137.00315144582723
125,136.83542580378398
126,136.43166092374494
127,136.43166092374494
128,136.83542580378398
129,136.43166092374494
130,136.43166092374494
131,136.43166092374494
132,136.5999623765689
133,136.83542580378398
134,137.03982015037053
135,136.43166092374494
136,136.5999623765689
137,136.83542580378398
138,136.83542580378398
139,136.43166092374494
140,136.43166092374494
141,136.43166092374494
142,136.43166092374494
143,136.23965238622193
144,136.64394755784147
145,136.43166092374494
146,136.83542580378398
147,136.43166092374494
148,136.83542580378398
149,136.83542580378398
