,Aprox,Derivative,Distancia,Tiempo
0,49.04817635794374,2.6999999999999997,136.37888911791111,0.14960026741027832
1,89.10755562801404,5.3999999999999995,136.37888911791111,0.20123004913330078
2,119.6034253857643,8.1,136.37602809210452,0.35161447525024414
3,139.21242665598254,10.799999999999999,136.33347553554663,0.38452672958374023
4,135.37895009443176,8.1,136.37602809210452,1.0570652484893799
5,142.00882204178632,10.799999999999999,136.37888911791111,1.087984561920166
6,135.28328057244514,8.1,136.37888911791111,1.4888100624084473
7,142.10947605740935,10.799999999999999,136.37888911791111,1.520890474319458
8,135.2952454248473,8.1,136.37888911791111,1.8892910480499268
9,142.09737016525048,10.799999999999999,136.37888911791111,2.193002462387085
10,135.2937649522273,8.1,136.37888911791111,2.6903011798858643
11,142.093103779491,10.799999999999999,136.37602809210452,2.9129910469055176
12,135.290732788261,8.1,136.37602809210452,2.9447529315948486
13,142.10195152909418,10.799999999999999,136.37888911791111,3.3129377365112305
14,135.29432390197397,8.1,136.37888911791111,3.648245096206665
15,142.0983072591818,10.799999999999999,136.37888911791111,3.7934460639953613
16,135.2913672022668,8.1,136.37602809210452,3.8250744342803955
17,142.1013085936516,10.799999999999999,136.37888911791111,4.192850589752197
18,135.29424536343043,8.1,136.37888911791111,4.225681781768799
19,142.0926143192091,10.799999999999999,136.37602809210452,4.321207284927368
20,135.29318641962755,8.1,136.37888911791111,4.512949705123901
21,142.09946287315768,10.799999999999999,136.37888911791111,4.689412593841553
22,135.29402007343256,8.1,136.37888911791111,4.752392530441284
23,142.09861604844576,10.799999999999999,136.37888911791111,4.78447413444519
24,135.29391679686879,8.1,136.37888911791111,4.944485902786255
25,142.0929490979577,10.799999999999999,136.37602809210452,5.248204708099365
26,135.29071396113432,8.1,136.37602809210452,5.280274868011475
27,140.87077830758403,10.799999999999999,135.85323694224394,5.312937021255493
28,135.20926577847808,8.1,136.37888911791111,5.45716404914856
29,142.17597022249583,10.799999999999999,136.37602809210452,5.488709449768066
30,135.30357630785454,8.1,136.37888911791111,5.552908897399902
31,141.99590224289147,10.799999999999999,136.33347553554663,5.793102502822876
32,135.28180200607179,8.1,136.37888911791111,5.8890204429626465
33,142.0189496770875,10.799999999999999,136.33347553554663,6.289173126220703
34,135.28191921912557,8.1,136.37602809210452,6.945992946624756
35,142.1051049105514,10.799999999999999,136.37602809210452,7.025012254714966
36,135.29219910787907,8.1,136.37602809210452,7.42781400680542
37,142.10046494916432,10.799999999999999,136.37888911791111,7.585335731506348
38,135.29414235513488,8.1,136.37888911791111,8.48087763786316
39,142.09849178052065,10.799999999999999,136.37888911791111,8.59360933303833
40,135.2939016461034,8.1,136.37888911791111,8.785358428955078
41,142.0062004924917,10.799999999999999,136.33347553554663,8.8481764793396
42,135.28044707677697,8.1,136.37602809210452,8.913728713989258
43,142.11232367722891,10.799999999999999,136.37888911791111,9.21699833869934
44,135.29559530134216,8.1,136.37888911791111,9.343807935714722
45,142.09701416988776,10.799999999999999,136.37888911791111,9.5844144821167
46,135.29120935334387,8.1,136.37602809210452,9.64829158782959
47,142.10146859760854,10.799999999999999,136.37888911791111,10.01659369468689
48,135.29426490594076,8.1,136.37888911791111,10.288949966430664
49,142.09836722517804,10.799999999999999,136.37888911791111,10.38375997543335
50,135.29388646148556,8.1,136.37888911791111,10.513067483901978
51,141.99471037145864,10.799999999999999,136.32789648812943,10.54499864578247
52,135.28166626864373,8.1,136.37888911791111,10.912427425384521
53,142.11109930723822,10.799999999999999,136.37888911791111,11.056897401809692
54,135.29293564606436,8.1,136.37602809210452,11.648096084594727
55,142.099717482457,10.799999999999999,136.37888911791111,11.713709592819214
56,135.29405113568887,8.1,136.37888911791111,11.793046951293945
57,142.092812231374,10.799999999999999,136.37602809210452,11.82467532157898
58,135.2932104603133,8.1,136.37888911791111,11.985289335250854
59,141.99543020310233,10.799999999999999,136.32789648812943,12.449073314666748
60,135.28174823396282,8.1,136.37888911791111,12.480210781097412
61,142.1110169451065,10.799999999999999,136.37888911791111,12.784710884094238
62,135.29543467098003,8.1,136.37888911791111,13.216182947158813
63,141.99306005923933,10.799999999999999,136.32789648812943,13.585296154022217
64,135.27894312702188,8.1,136.37602809210452,13.857053279876709
65,142.10809972619606,10.799999999999999,136.37602809210452,13.98494267463684
66,135.29256674055205,8.1,136.37602809210452,14.04941725730896
67,142.10009192455888,10.799999999999999,136.37888911791111,14.145221710205078
68,135.29409682654762,8.1,136.37888911791111,14.256404638290405
69,142.0985380502529,10.799999999999999,136.37888911791111,14.593769550323486
70,135.25410932278308,8.1,136.33347553554663,14.625242948532104
71,142.13277733588882,10.799999999999999,136.37602809210452,15.057173490524292
72,135.25358279509283,8.1,136.32789648812943,15.456744909286499
73,142.13329458792686,10.799999999999999,136.37602809210452,15.680856943130493
74,135.29819099088738,8.1,136.37888911791111,15.824474096298218
75,142.08858620984063,10.799999999999999,136.37602809210452,15.857212543487549
76,135.29269777375106,8.1,136.37888911791111,15.8891761302948
77,142.0999589392498,10.799999999999999,136.37888911791111,16.016751050949097
78,135.2915690113239,8.1,136.37602809210452,16.048976182937622
79,142.0953383450874,10.799999999999999,136.37602809210452,16.289497137069702
80,135.2488288221286,8.1,136.32789648812943,16.720546007156372
81,142.13795375000126,10.799999999999999,136.37602809210452,17.089135885238647
82,135.29877223015203,8.1,136.37888911791111,17.79364562034607
83,142.08799158742713,10.799999999999999,136.37602809210452,18.04839277267456
84,135.2926257464494,8.1,136.37888911791111,18.51286292076111
85,142.10003204157263,10.799999999999999,136.37888911791111,18.689354419708252
