,Distancia
0,136.52958757963344
1,137.10148631285736
2,137.10148631285736
3,136.9336886685245
4,136.68630668957564
5,136.68630668957564
6,136.68630668957564
7,136.4930388620376
8,136.66136979876467
9,136.68630668957564
10,136.25806874528212
11,136.4930388620376
12,136.4930388620376
13,136.25806874528212
14,136.68630668957564
15,136.089158946123
16,136.66136979876467
17,136.66136979876467
18,136.66136979876467
19,135.8185233149158
20,135.8185233149158
21,135.64907418650253
22,135.8185233149158
23,135.8185233149158
24,136.2215981141697
25,135.8603779788921
26,135.8603779788921
27,135.61276670088253
28,135.61276670088253
29,135.41992922294187
30,135.41992922294187
31,135.2284983335597
32,135.5880436562862
33,135.5880436562862
34,135.2284983335597
35,135.41992922294187
36,134.9798232409319
37,134.9798232409319
38,134.7879073505711
39,135.2284983335597
40,134.9552616961792
41,134.7879073505711
42,134.9552616961792
43,134.59740558936969
44,134.3836202675594
45,134.76345495026084
46,134.51555264009937
47,134.51555264009937
48,133.91923673487696
49,134.1566709091446
50,134.32325780434698
51,134.32325780434698
52,134.51555264009937
53,134.51555264009937
54,134.32325780434698
55,134.1566709091446
56,134.51555264009937
57,134.32325780434698
58,134.51555264009937
59,134.51555264009937
60,134.1566709091446
61,134.1566709091446
62,134.32325780434698
63,134.9552616961792
64,134.9552616961792
65,134.55155747079505
66,134.9552616961792
67,134.9552616961792
68,134.9552616961792
69,134.9552616961792
70,135.41992922294187
71,135.5880436562862
72,135.41992922294187
73,135.5880436562862
74,135.41992922294187
75,135.61276670088253
76,136.05273085871394
77,136.02795566543156
78,136.2215981141697
79,136.2215981141697
80,135.64907418650253
81,136.05273085871394
82,136.02795566543156
83,136.2215981141697
84,136.2215981141697
85,136.05273085871394
86,136.05273085871394
87,135.8185233149158
88,136.2215981141697
89,136.2215981141697
90,136.05273085871394
91,136.05273085871394
92,136.05273085871394
93,136.05273085871394
94,136.05273085871394
