,Distancia
0,145.8851699045576
1,145.82104658961794
2,145.82104658961794
3,145.82104658961794
4,145.82104658961794
5,145.82104658961794
6,145.82104658961794
7,145.82104658961794
8,145.29504600579912
9,145.82104658961794
10,145.29504600579912
11,145.29504600579912
12,145.29504600579912
13,145.29504600579912
14,145.29504600579912
15,145.29504600579912
16,144.76931800816078
17,144.76931800816078
18,144.73063182277912
19,144.73063182277912
20,144.73063182277912
21,144.22606855462828
22,143.67990055671137
23,143.67990055671137
24,143.64286660677118
25,143.64286660677118
26,143.11786618641815
27,143.11786618641815
28,142.55777353417696
29,142.55777353417696
30,142.03327606837007
31,142.03327606837007
32,142.03327606837007
33,142.03327606837007
34,142.03327606837007
35,142.03327606837007
36,141.50904812304915
37,141.50904812304915
38,141.47537587827009
39,141.47537587827009
40,141.47537587827009
41,141.47537587827009
42,141.50904812304915
43,141.47537587827009
44,141.47537587827009
45,141.47537587827009
46,141.47537587827009
47,141.47537587827009
48,141.47537587827009
49,141.47537587827009
50,141.47537587827009
51,141.47537587827009
52,141.47537587827009
53,141.47537587827009
54,141.47537587827009
55,141.47537587827009
56,141.47537587827009
57,141.47537587827009
58,141.47537587827009
59,141.47537587827009
60,141.47537587827009
61,141.47537587827009
62,141.47537587827009
63,141.47537587827009
64,141.47537587827009
65,141.47537587827009
66,141.47537587827009
67,141.47537587827009
68,141.47537587827009
69,141.47537587827009
70,141.47537587827009
71,141.47537587827009
72,141.47537587827009
73,141.50904812304915
74,141.50904812304915
75,141.50904812304915
76,142.03327606837007
77,142.03327606837007
78,142.03327606837007
79,142.03327606837007
80,142.03327606837007
81,142.03327606837007
82,142.55777353417696
83,142.55777353417696
84,142.55777353417696
85,143.11786618641815
86,143.11786618641815
87,143.11786618641815
88,143.11786618641815
89,143.11786618641815
90,143.64286660677118
91,143.64286660677118
92,143.64286660677118
93,144.20513041418334
94,144.20513041418334
95,144.20513041418334
96,144.20513041418334
97,144.20513041418334
98,144.20513041418334
99,144.20513041418334
100,144.73063182277912
101,144.73063182277912
102,144.73063182277912
103,144.73063182277912
104,144.73063182277912
105,144.73063182277912
106,144.73063182277912
107,144.73063182277912
108,144.73063182277912
109,145.29504600579912
110,144.73063182277912
111,144.76931800816078
112,145.29504600579912
113,145.29504600579912
114,145.29504600579912
115,145.29504600579912
116,145.29504600579912
117,145.29504600579912
118,145.29504600579912
119,145.29504600579912
120,145.29504600579912
121,145.29504600579912
122,145.29504600579912
123,145.29504600579912
124,145.29504600579912
125,145.29504600579912
126,145.29504600579912
127,145.29504600579912
128,145.29504600579912
129,145.29504600579912
130,145.29504600579912
131,145.29504600579912
132,145.29504600579912
133,145.29504600579912
134,145.29504600579912
135,145.29504600579912
136,145.29504600579912
137,145.29504600579912
138,145.29504600579912
139,145.29504600579912
140,145.29504600579912
141,145.29504600579912
142,145.29504600579912
143,145.29504600579912
144,145.29504600579912
145,145.29504600579912
146,145.29504600579912
147,145.29504600579912
148,145.29504600579912
149,145.29504600579912
