,Distancia
0,148.97427323804115
1,148.97427323804115
2,149.00291662552436
3,148.5142144253044
4,148.5429690971362
5,148.01844320590848
6,148.97427323804115
7,148.97427323804115
8,148.47838220445234
9,147.98957407327805
10,148.47838220445234
11,148.44962510953428
12,148.47838220445234
13,148.01844320590848
14,148.01844320590848
15,148.44962510953428
16,148.47838220445234
17,148.01844320590848
18,148.47838220445234
19,147.98957407327805
20,147.9608437968712
21,148.47838220445234
22,148.42100403354706
23,147.9881100191071
24,147.92375740802433
25,147.92375740802433
26,148.4481634809359
27,147.92375740802433
28,147.92375740802433
29,147.92375740802433
30,147.92375740802433
31,147.92375740802433
32,147.92375740802433
33,147.92375740802433
34,147.8964887578648
35,147.46371180073388
36,147.46371180073388
37,147.43633564936903
38,147.43633564936903
39,147.46371180073388
40,146.91207126958886
41,147.46371180073388
42,146.93955808334883
43,146.93955808334883
44,146.93955808334883
45,146.93955808334883
46,147.39959575736697
47,147.39959575736697
48,147.39959575736697
49,146.91071030726468
50,147.3708586459921
51,147.3708586459921
52,146.91071030726468
53,146.91071030726468
54,146.38668713627146
55,146.38668713627146
56,146.36070878792134
57,146.38668713627146
58,146.38668713627146
59,146.38668713627146
60,146.38668713627146
61,146.38668713627146
62,145.86290756173102
63,145.83556456842064
64,146.32304128218067
65,146.29580503401516
66,146.32304128218067
67,145.3119185459844
68,145.3119185459844
69,145.3119185459844
70,145.3119185459844
71,145.3119185459844
72,145.77215231096883
73,145.3119185459844
74,145.3119185459844
75,144.78851522632755
76,144.78851522632755
77,145.24874222257017
78,144.76269675997366
79,144.76269675997366
80,144.76269675997366
81,144.76269675997366
82,145.22302645712548
83,145.22302645712548
84,144.23943013521972
85,144.23943013521972
86,144.23943013521972
87,144.23943013521972
88,144.23943013521972
89,144.23943013521972
90,144.23943013521972
91,144.23943013521972
92,144.23943013521972
93,144.23943013521972
94,144.23943013521972
95,144.23943013521972
96,144.23943013521972
97,144.23943013521972
98,144.23943013521972
99,144.23943013521972
100,144.23943013521972
101,144.23943013521972
102,144.23943013521972
103,144.23943013521972
104,144.23943013521972
105,144.23943013521972
106,144.23943013521972
107,144.23943013521972
108,144.23943013521972
109,144.23943013521972
110,144.23943013521972
111,144.23943013521972
112,144.23943013521972
113,144.23943013521972
114,144.23943013521972
115,144.23943013521972
116,144.23943013521972
117,144.23943013521972
118,144.23943013521972
119,144.23943013521972
120,144.23943013521972
121,144.23943013521972
122,144.23943013521972
123,144.23943013521972
124,144.23943013521972
125,144.23943013521972
126,144.23943013521972
127,144.23943013521972
128,144.76269675997366
129,144.76269675997366
130,144.76269675997366
131,144.76269675997366
132,144.76269675997366
133,144.78851522632755
134,144.78851522632755
135,144.78851522632755
136,145.3119185459844
137,145.3119185459844
138,145.3119185459844
139,145.3119185459844
140,145.3119185459844
141,145.83556456842064
142,145.86290756173102
143,145.86290756173102
144,145.86290756173102
145,146.38668713627146
146,146.38668713627146
147,146.38668713627146
148,146.38668713627146
149,146.91071030726468
150,146.91071030726468
151,146.93955808334883
152,146.91071030726468
153,146.93955808334883
154,146.93955808334883
155,146.93955808334883
156,146.93955808334883
157,147.46371180073388
158,147.92375740802433
159,147.92375740802433
160,147.92375740802433
161,147.46371180073388
162,147.46371180073388
163,147.92375740802433
164,147.46371180073388
165,147.46371180073388
166,147.46371180073388
167,147.92375740802433
168,147.46371180073388
169,147.92375740802433
170,147.9881100191071
171,147.92375740802433
172,147.9881100191071
173,148.4481634809359
174,147.9608437968712
175,147.9881100191071
176,147.9881100191071
177,147.9881100191071
178,147.9881100191071
179,147.98957407327805
180,148.01844320590848
181,148.01844320590848
182,148.44962510953428
183,148.01844320590848
184,148.01844320590848
185,148.01844320590848
186,148.01844320590848
187,148.01844320590848
188,148.01844320590848
189,148.01844320590848
190,148.01844320590848
191,147.9608437968712
192,147.98957407327805
193,148.01844320590848
194,147.9608437968712
195,148.01844320590848
196,148.47838220445234
197,148.01844320590848
198,147.98957407327805
199,148.01844320590848
200,148.44962510953428
201,148.47838220445234
202,148.01844320590848
203,148.01844320590848
204,148.01844320590848
205,148.01844320590848
206,148.44962510953428
207,148.01844320590848
208,148.44962510953428
209,148.01844320590848
210,148.44962510953428
211,147.98957407327805
212,147.98957407327805
213,148.44962510953428
214,147.98957407327805
215,148.01844320590848
216,148.01844320590848
217,148.01844320590848
218,148.47838220445234
219,148.44962510953428
220,148.01844320590848
221,147.98957407327805
222,148.44962510953428
223,147.98957407327805
224,148.01844320590848
225,147.98957407327805
226,148.01844320590848
227,148.01844320590848
228,148.01844320590848
229,148.01844320590848
230,148.44962510953428
231,148.44962510953428
232,147.98957407327805
233,148.47838220445234
234,148.44962510953428
235,148.01844320590848
236,148.5142144253044
237,148.01844320590848
238,148.01844320590848
239,148.5429690971362
240,148.44962510953428
241,147.98957407327805
242,148.01844320590848
243,148.5429690971362
244,148.5429690971362
245,148.5142144253044
246,148.5429690971362
247,148.97427323804115
248,148.01844320590848
249,148.5429690971362
250,147.98957407327805
251,148.01844320590848
252,148.5429690971362
253,148.47838220445234
254,148.5142144253044
255,148.44962510953428
256,148.01844320590848
257,148.01844320590848
258,148.01844320590848
259,148.5429690971362
260,148.5429690971362
261,148.5142144253044
262,148.01844320590848
263,148.5429690971362
264,148.01844320590848
265,148.5429690971362
266,149.00291662552436
267,148.5142144253044
268,148.47838220445234
269,148.01844320590848
270,149.00291662552436
271,149.00291662552436
272,149.00291662552436
273,148.44962510953428
274,148.01844320590848
275,148.5429690971362
276,148.5142144253044
277,149.00291662552436
278,148.97427323804115
279,147.98957407327805
280,148.5429690971362
281,148.47838220445234
282,148.97427323804115
283,148.5429690971362
284,148.01844320590848
285,148.5142144253044
286,148.97427323804115
287,148.47838220445234
288,148.5429690971362
289,148.01844320590848
290,148.5429690971362
291,149.00291662552436
292,147.98957407327805
293,148.5142144253044
294,148.01844320590848
295,148.44962510953428
296,147.98957407327805
297,148.01844320590848
298,148.5429690971362
