,Distancia
0,136.2487831014889
1,136.65203033268276
2,136.2487831014889
3,136.2487831014889
4,136.2487831014889
5,136.2487831014889
6,136.2487831014889
7,136.2487831014889
8,136.2487831014889
9,136.65203033268276
10,136.65203033268276
11,136.2487831014889
12,136.2487831014889
13,135.80925667667154
14,136.65203033268276
15,135.80925667667154
16,136.21227768315634
17,136.21227768315634
18,136.21227768315634
19,136.01858852888995
20,135.6150282903936
21,136.01858852888995
22,135.6150282903936
23,136.21227768315634
24,135.6150282903936
25,135.17536088655336
26,135.17536088655336
27,135.57869585390142
28,135.17536088655336
29,135.17536088655336
30,135.57869585390142
31,135.17536088655336
32,134.9820467411568
33,134.9820467411568
34,135.17536088655336
35,134.73604148709146
36,135.13914906316307
37,134.73604148709146
38,134.73604148709146
39,134.94588719206817
40,134.73604148709146
41,134.54223684159766
42,134.73604148709146
43,134.94588719206817
44,134.94588719206817
45,134.34984402155894
46,134.54223684159766
47,134.75403447964072
48,134.54223684159766
49,134.54223684159766
50,134.54223684159766
51,134.54223684159766
52,134.54223684159766
53,134.54223684159766
54,134.54223684159766
55,134.94588719206817
56,134.54223684159766
57,135.57869585390142
58,134.73604148709146
59,135.41060873309743
60,135.57869585390142
61,135.17536088655336
62,135.57869585390142
63,135.57869585390142
64,135.17536088655336
65,135.6150282903936
66,136.21227768315634
67,135.80925667667154
68,135.80925667667154
69,135.80925667667154
70,135.80925667667154
71,135.80925667667154
72,135.80925667667154
73,135.80925667667154
74,135.80925667667154
75,136.2487831014889
76,136.65203033268276
77,136.41885078605424
78,135.80925667667154
