,Distancia
0,137.30201882482345
1,136.66982297902268
2,137.11105165301905
3,136.83629322880006
4,136.66982297902268
5,136.83629322880006
6,136.83629322880006
7,137.02901867597765
8,136.86126490627058
9,136.86126490627058
10,136.66982297902268
11,136.66982297902268
12,136.66982297902268
13,136.83629322880006
14,136.83629322880006
15,136.83629322880006
16,136.47977899126525
17,136.47977899126525
18,136.3959315974973
19,136.0384119242724
20,136.0384119242724
21,136.0384119242724
22,136.0384119242724
23,136.0384119242724
24,135.4077913095523
25,135.00281953284272
26,135.57273275002012
27,135.2196149646817
28,134.52578304567527
29,134.69178963712486
30,134.3366521630923
31,134.14894449677618
32,134.14894449677618
33,134.14894449677618
34,133.8956727993199
35,134.06090461007224
36,133.8956727993199
37,133.8956727993199
38,133.8956727993199
39,134.50134952947326
40,134.06090461007224
41,134.3366521630923
42,134.50134952947326
43,134.3366521630923
44,134.3366521630923
45,134.3366521630923
46,134.50134952947326
47,135.13209141678007
48,135.13209141678007
49,135.4077913095523
50,135.57273275002012
51,135.4077913095523
52,135.57273275002012
53,135.4077913095523
54,135.59738046572664
55,135.76362065839024
56,135.59738046572664
57,136.20412141361828
58,136.0384119242724
59,136.0384119242724
60,136.22893100813377
61,136.0384119242724
62,136.3959315974973
63,136.66982297902268
64,136.0384119242724
65,136.64496079719888
66,136.66982297902268
67,136.66982297902268
68,136.66982297902268
69,136.83629322880006
70,136.66982297902268
71,136.83629322880006
72,136.66982297902268
73,136.83629322880006
74,136.83629322880006
75,136.83629322880006
76,136.83629322880006
77,136.83629322880006
78,136.66982297902268
79,136.83629322880006
80,136.83629322880006
81,136.66982297902268
82,136.83629322880006
83,136.83629322880006
84,136.83629322880006
85,136.83629322880006
86,136.83629322880006
87,136.83629322880006
88,136.83629322880006
89,136.66982297902268
90,136.83629322880006
91,136.83629322880006
92,136.66982297902268
93,136.66982297902268
94,136.83629322880006
95,137.2769945626642
96,136.83629322880006
97,136.83629322880006
