,Distancia
0,136.64087631996804
1,136.64087631996804
2,136.64087631996804
3,136.64087631996804
4,136.64087631996804
5,137.0441996440285
6,136.44759610129853
7,136.47251287044506
8,136.47251287044506
9,136.44759610129853
10,136.87641201684804
11,136.28051894149192
12,136.64087631996804
13,136.44759610129853
14,136.6849485569881
15,136.8514524169376
16,136.28051894149192
17,136.24405853380634
18,136.24405853380634
19,136.00745755698247
20,136.28051894149192
21,135.83984697119885
22,136.00745755698247
23,136.4110928355207
24,135.64877554282654
25,136.24405853380634
26,136.00745755698247
27,136.00745755698247
28,136.24405853380634
29,136.00745755698247
30,136.24405853380634
31,135.81509221443872
32,135.81509221443872
33,135.81509221443872
34,135.81509221443872
35,135.6124880003092
36,135.64877554282654
37,135.6124880003092
38,135.6124880003092
39,135.37481314275277
40,135.37481314275277
41,135.2079626606131
42,135.6124880003092
43,135.2079626606131
44,135.37481314275277
45,135.37481314275277
46,134.74294864032777
47,134.5768655980342
48,134.74294864032777
49,134.74294864032777
50,134.74294864032777
51,134.9817060718004
52,134.9817060718004
53,135.14721197378805
54,134.5768655980342
55,134.74294864032777
56,135.2079626606131
57,135.0178208420266
58,134.9817060718004
59,135.37481314275277
60,135.2079626606131
61,135.37481314275277
62,135.2079626606131
63,135.2079626606131
64,135.37481314275277
65,135.2079626606131
66,135.6124880003092
67,135.81509221443872
68,136.00745755698247
69,135.81509221443872
70,136.0535179385869
71,136.00745755698247
72,136.24405853380634
73,136.00745755698247
74,136.00745755698247
75,135.83984697119885
76,136.00745755698247
77,136.00745755698247
78,136.00745755698247
79,136.44759610129853
80,136.87641201684804
81,136.64087631996804
82,136.64087631996804
83,136.64087631996804
84,136.28051894149192
85,136.6849485569881
86,136.44759610129853
87,136.64087631996804
88,136.64087631996804
89,136.64087631996804
90,136.64087631996804
91,136.64087631996804
92,136.64087631996804
93,137.0441996440285
94,136.64087631996804
